Id. RCE,NAF,Raison sociale,Enseigne,Tranche effectif (INSEE),Effectif ACOSS (ou recueilli),Adresse principale,Code postal,Commune acheminement postal
32576118,7010Z,LES SIFFLEURS,,SANS SALARIE,0,300 ALLEE DES HAUTS DE VOGLANS,73420,VOGLANS
19220798,7010Z,AUTO CONTROLE TECHNIQUE VENISSIEUX,,SANS SALARIE,0,3 RUE PIERRE TIMBAUD,69200,VENISSIEUX
28515088,7010Z,2JIC,,SANS SALARIE,0,157 CHEMIN DES MOLIERS,73100,TREVIGNIN
21028145,7010Z,2M PISCINES DECORATION,,SANS SALARIE,0,10 BOULEVARD JEAN MONNET,69490,PONTCHARRA SUR TURDINE
12285598,7010Z,LEADER BELLEY,LEADER PRICE,10 A 19 SALARIES,10,ZONE ARTISANALE DE L OUSSON,1300,BELLEY
19417856,7010Z,BERNE ALAIN,BERNE ALAIN,1 OU 2 SALARIES,1,CHEMIN DES FABRIQUES,26260,CLERIEUX
26867034,7010Z,A CHOUMAS THOLLON,,3 A 5 SALARIES,3,IMMEUBLE LE PANORAMIC,74500,THOLLON LES MEMISES
11701232,7010Z,INTEC,,1 OU 2 SALARIES,1,130 CHEMIN DES CHENES,38140,ST BLAISE DU BUIS
5720851,7010Z,POUR LOISIRS DES ENFANTS,,1 OU 2 SALARIES,1,RUE DES SPORTS,42140,CHAZELLES SUR LYON
20148004,7010Z,GROUPE AVENIR HOME TEC,,3 A 5 SALARIES,3,537 MONTEE DE L EGLISE,26210,EPINOUZE
27396781,7010Z,ARONE,,SANS SALARIE,0,10 BOULEVARD DES BELGES,69006,LYON
18445491,7010Z,MILIBOUTIQUE,MILIBOOTIK ET MILIBOOTIQUE,SANS SALARIE,0,17 RUE MIRA,74650,CHAVANOD
29298687,7010Z,abc emploi,,,0,1200 de maisonneuve ouest,99999,MONTREAL
23917143,7010Z,FHLP DISTRIBUTION,,SANS SALARIE,0,16B BD ALEXANDRE DE FRAISSINETTE,42100,ST ETIENNE
27819296,7010Z,L AMIE DELICE,BOULE ANGE,SANS SALARIE,0,71 RUE DE BOURGOGNE,38200,VIENNE
26838279,7010Z,INFOLOGIC GROUPE,,SANS SALARIE,20,99 AVENUE DE LYON,26500,BOURG LES VALENCE
16793178,7010Z,BAWSUB,,SANS SALARIE,0,289 RUE GARIBALDI,69007,LYON
